
**********************************
----------------------------------
             Secuencial           
----------------------------------
**********************************
----------------------------------
         img1 720p                
----------------------------------
Kernel		Time
3 	0.120
5 	0.106
7 	0.090
9 	0.097
11 	0.097
13 	0.079
15 	0.107
----------------------------------
          img2 1080p              
----------------------------------
Kernel		Time
3 	0.088
5 	0.060
7 	0.064
9 	0.092
11 	0.068
13 	0.096
15 	0.107
----------------------------------
          img3 4k                 
----------------------------------
Kernel		Time
3 	0.099
5 	0.096
7 	0.079
9 	0.108
11 	0.092
13 	0.081
15 	0.072

**********************************
----------------------------------
          Paralelizado            
----------------------------------
**********************************
----------------------------------
          img1 720p               
----------------------------------
Kernel		Blocks		Threads		Time
15 			4 		256 		0.296
15 			4 		384 		0.299
15 			4 		512 		0.290
15 			4 		640 		0.284
15 			4 		768 		0.294
15 			4 		896 		0.246
15 			4 		1024 		0.282
----------------------------------
          img2 1080p              
----------------------------------
Kernel		Blocks		Threads		Time
3 			1 		128 		0.461
3 			1 		256 		0.380
3 			1 		384 		0.313
3 			1 		512 		0.353
3 			1 		640 		0.356
3 			1 		768 		0.358
3 			1 		896 		0.357
3 			1 		1024 		0.383
3 			2 		128 		0.390
3 			2 		256 		0.363
3 			2 		384 		0.336
3 			2 		512 		0.357
3 			2 		640 		0.358
3 			2 		768 		0.328
3 			2 		896 		0.360
3 			2 		1024 		0.292
3 			3 		128 		0.317
3 			3 		256 		0.348
3 			3 		384 		0.357
3 			3 		512 		0.285
3 			3 		640 		0.314
3 			3 		768 		0.356
3 			3 		896 		0.349
3 			3 		1024 		0.350
3 			4 		128 		0.352
3 			4 		256 		0.337
3 			4 		384 		0.359
3 			4 		512 		0.300
3 			4 		640 		0.310
3 			4 		768 		0.305
3 			4 		896 		0.355
3 			4 		1024 		0.355
5 			1 		128 		0.639
5 			1 		256 		0.487
5 			1 		384 		0.423
5 			1 		512 		0.355
5 			1 		640 		0.346
5 			1 		768 		0.336
5 			1 		896 		0.363
5 			1 		1024 		0.329
5 			2 		128 		0.476
5 			2 		256 		0.399
5 			2 		384 		0.386
5 			2 		512 		0.389
5 			2 		640 		0.386
5 			2 		768 		0.369
5 			2 		896 		0.390
5 			2 		1024 		0.347
5 			3 		128 		0.368
5 			3 		256 		0.342
5 			3 		384 		0.352
5 			3 		512 		0.373
5 			3 		640 		0.350
5 			3 		768 		0.329
5 			3 		896 		0.339
5 			3 		1024 		0.340
5 			4 		128 		0.356
5 			4 		256 		0.374
5 			4 		384 		0.396
5 			4 		512 		0.384
5 			4 		640 		0.379
5 			4 		768 		0.391
5 			4 		896 		0.433
5 			4 		1024 		0.323
7 			1 		128 		0.875
7 			1 		256 		0.601
7 			1 		384 		0.497
7 			1 		512 		0.378
7 			1 		640 		0.417
7 			1 		768 		0.430
7 			1 		896 		0.403
7 			1 		1024 		0.345
7 			2 		128 		0.594
7 			2 		256 		0.464
7 			2 		384 		0.382
7 			2 		512 		0.390
7 			2 		640 		0.445
7 			2 		768 		0.360
7 			2 		896 		0.432
7 			2 		1024 		0.406
7 			3 		128 		0.502
7 			3 		256 		0.420
7 			3 		384 		0.419
7 			3 		512 		0.432
7 			3 		640 		0.424
7 			3 		768 		0.369
7 			3 		896 		0.421
7 			3 		1024 		0.415
7 			4 		128 		0.451
7 			4 		256 		0.440
7 			4 		384 		0.396
7 			4 		512 		0.421
7 			4 		640 		0.443
7 			4 		768 		0.430
7 			4 		896 		0.383
7 			4 		1024 		0.372
